,Latitude,Longitude
0,42.372671999999994,-72.50453759999999
1,42.338468,-72.53508659999999
2,42.3505723,-72.5265832
3,42.381316399999996,-72.4714887
4,42.384195899999995,-72.4367252
5,42.35974960000001,-72.5776
6,42.289890299999996,-72.6258783
7,42.2675485,-72.6119542
8,42.20139520000001,-72.6385208
9,42.144692,-72.6409014
10,42.1327082,-72.60821659999999
11,42.105605600000004,-72.59616209999999
12,42.1102739,-72.555678
13,42.1226596,-72.57386609999999
14,42.1453868,-72.5495287
15,42.16126320000001,-72.5370527
16,42.1660299,-72.4940558
17,42.170232299999995,-72.4543485
18,42.1605011,-72.4198438
19,42.154598799999995,-72.3743436
20,42.1708481,-72.338453
21,42.17429179999999,-72.30554609999999
22,42.170536,-72.263729
23,42.180769399999996,-72.2321695
24,42.174001000000004,-72.1930933
25,42.1360456,-72.127638
26,42.1362583,-72.0865196
27,42.1365706,-72.0368458
28,42.1534756,-71.9728622
29,42.1671556,-71.9382922
30,42.18615820000001,-71.87850909999999
31,42.191186200000004,-71.86403670000001
32,42.198237799999994,-71.84029740000001
33,42.204299299999995,-71.813497
34,42.2063869,-71.79234579999999
35,42.21976420000001,-71.7607041
36,42.2233853,-71.7162523
37,42.226217600000005,-71.70196779999999
38,42.2270951,-71.67842259999999
39,42.2283891,-71.64807320000001
40,42.227491799999996,-71.625869
41,42.237135200000004,-71.6019687
42,42.248757,-71.58767759999999
43,42.259601,-71.5774569
44,42.2656359,-71.5669567
45,42.2729227,-71.54589940000001
46,42.278600399999995,-71.52369859999999
47,42.287754,-71.49220679999999
48,42.298284,-71.476658
49,42.3017061,-71.45588199999999
50,42.3096722,-71.43525009999999
51,42.3154574,-71.41231640000001
52,42.306450299999995,-71.39205729999999
53,42.311530499999996,-71.37555970000001
54,42.3165838,-71.355937
55,42.3270022,-71.3328868
56,42.3331338,-71.31961
57,42.33903970000001,-71.277946
58,42.3480015,-71.2235907
59,42.350837,-71.2090869
60,42.3553099,-71.1896327
61,42.357480100000004,-71.12402320000001
62,42.347053,-71.08001390000001
63,42.3577386,-71.1512252
64,42.174612200000006,-71.9207057
65,42.1583746,-71.95808259999998
66,42.150186,-71.9970035
67,42.1510993,-72.15110179999999
68,42.1333251,-72.5567622
69,42.173397200000004,-72.64459690000001
70,42.2310899,-72.63561159999999
71,42.257411299999994,-72.61756590000002
72,42.2833785,-72.61519399999999
73,42.4194333,-72.5395232
